	SRR8985886	SRR8985887	SRR8985888	SRR8985889	SRR8985890	SRR8985891	SRR8985892	SRR8985893	SRR8985894	SRR8985895	SRR8985897	SRR8985898	SRR8985899	SRR8985900	SRR8985901	SRR8985902	SRR8985903	SRR8985904	SRR8985905	SRR8985906	SRR8985907	SRR8985908	SRR8985909	SRR8985910	SRR8985911	SRR8985912	SRR8985913	SRR8985914	SRR8985915	SRR8985916	SRR8985917	SRR8985918	SRR8985919	SRR8985920	SRR8985921	SRR8985922	SRR8985923	SRR8985924	SRR8985925	SRR8985926	SRR8985927	SRR8985928	SRR8985929	SRR8985930	SRR8985931	SRR8985932	SRR8985933	SRR8985934	SRR8985935	SRR8985936	SRR8985937	SRR8985938	SRR8985939	SRR8985940	SRR8985941	SRR8985942	SRR8985943	SRR8985944	SRR8985945	SRR8985946	SRR8985947	SRR8985948	SRR8985949	SRR8985950	SRR8985951	SRR8985952	SRR8985953	SRR8985954	SRR8985955	SRR8985956	SRR8985957	SRR8985958	SRR8985959	SRR8985960	SRR8985961	SRR8985962	SRR8985963	SRR8985964	SRR8985965	SRR8985966	SRR8985967	SRR8985968	SRR8985969	SRR8985970	SRR8985971	SRR8985972	SRR8985973	SRR8985974	SRR8985976
SRR8985886	0	0.1007675140323707	0.09934939162145916	0.07766631118246164	0.1151273028338003	0.1053882979103416	0.07701206300292252	0.08913987592683402	0.2388006259442677	0.08719809760929195	0.2235025501328922	0.349417909758774	0.1030437654032633	0.118117644516862	0.4657850983161598	0.3096871106866527	0.07667015221732629	0.3171632927155506	0.1326945772447072	0.08272097307918326	0.4276308616400511	0.2964540377527656	0.3567792674776973	0.2252242186769532	0.2525228861174515	0.2550329640664502	0.07612726332569456	0.4128795833060389	0.2775923607905548	0.2157620609818247	0.5037701443438809	0.3971594502094175	0.1208988438199164	0.2058264764662349	0.1444609774378845	0.06546245847122016	0.4244266834593992	0.1905331004514605	0.5204043943720724	0.3383010058727448	0.2644123472549921	0.2749307640695277	0.0781296120628739	0.2437095750243268	0.152542396884436	0.08988373180362517	0.08411578302423631	0.08796503932700403	0.3253462966197607	0.1186876469137493	0.309747173130976	0.2859219591692266	0.170722271790733	0.3252007898746531	0.2677051536539286	0.1427555703728006	0.3424755201974872	0.3464019144862988	0.08558855548974034	0.196326927165333	0.194694072047675	0.1025125516436454	0.08618573806639217	0.1168052924638286	0.1430816304449405	0.0698799782686453	0.0944344704893515	0.04386434443173782	0.1871304830869916	0.1556076158394175	0.2487223594797725	0.1246780575169247	0.4743390703348211	0.5013875978175693	0.4612450123428241	0.4481372631184508	0.4446861279509318	0.5127833432357103	0.246265312851327	0.4041890245749586	0.3492134184177864	0.1960441072743842	0.2718784728251716	0.4349969484709935	0.3488493422857434	0.3054135951009449	0.3016720997903645	0.5131775923610947	0.1398590266661126
SRR8985887	0.1007675140323707	0	0.1478623072056398	0.1169618643615153	0.1422036555119627	0.1236066353780263	0.1334729788302697	0.1378673045748891	0.2058295299305613	0.1384255642835647	0.2295480736937821	0.2965414149317673	0.1258688183410389	0.1382773681872834	0.3924881233229	0.2419073299503617	0.1231019466564302	0.2708726725708132	0.1383627600756668	0.1135893097676439	0.3877533127870526	0.2435621585413978	0.2806253635223862	0.1744158005525106	0.240867887391424	0.2421156197929202	0.1194677345120669	0.3287560797060951	0.2272310473600012	0.2084632784339766	0.431708332517449	0.3697307894708443	0.1164391460244305	0.1882360829044031	0.1596801107392274	0.1059290047283784	0.3949201970742559	0.2036088988840829	0.4669298795064356	0.3067065059373483	0.1969662379435316	0.2178576870576253	0.1332846405656065	0.233212876938753	0.1181340292426026	0.1263958515636577	0.1275016265944179	0.1420201588647126	0.2422353526808624	0.1011711273580626	0.3135815181382629	0.2877600081212366	0.1879270635276676	0.31127801335384	0.1933889983256481	0.1467180410760679	0.3191218393543199	0.3465143089966549	0.1269653735402331	0.2127667039737116	0.125341893456338	0.1187476315675902	0.07714894304784571	0.1503828253979219	0.1508475092115185	0.1033946953431465	0.1045308687630708	0.1092365038230127	0.1724961036226768	0.09394390989792981	0.2053571790594492	0.1161384426883302	0.4568712210872108	0.4530038977071109	0.4394305857262788	0.3747490634691496	0.3783816700416061	0.436146223788782	0.2211788465808955	0.3385189853939226	0.2791693463360258	0.2356451170624789	0.2140276952176658	0.3496121791127073	0.2965909829678359	0.2355467296288034	0.2535874343378357	0.4338161842934063	0.1184506393430498
SRR8985888	0.09934939162145916	0.1478623072056398	0	0.1368193766985102	0.1712454295141042	0.1522667925772409	0.1129358821252152	0.1272765565269059	0.2881058993597866	0.1012444571913514	0.2803092013974837	0.4004414672129213	0.168506908560209	0.1836400014762551	0.5103868688547688	0.3673775479667823	0.08505055837304391	0.3639967136908582	0.1900404218595744	0.1351005254461846	0.4859978965870388	0.3488890436119279	0.3994395116414565	0.2777730761860776	0.31196404732542	0.296535730990861	0.1356764505966201	0.4509107971292727	0.3234768328422452	0.2709356562937115	0.555268861599894	0.4503171328859376	0.1876891059738518	0.2586115121753988	0.2192790433458365	0.1282184395180643	0.4840932036427129	0.2572164939321444	0.5758994994633512	0.4025082709708192	0.3152191486716009	0.3201720095697227	0.1073488143654799	0.3024499181017259	0.1964535504216568	0.1371937662753807	0.1107460569179188	0.09297818272032266	0.3709952950700106	0.1632873219680408	0.377231888304272	0.3534477450105395	0.2442262461895662	0.383703026603099	0.3160832726011816	0.1958561863381017	0.4055243639365993	0.3779935602182281	0.1082801134320729	0.2372357845242856	0.2591760545581362	0.1667327076918708	0.1359455303920732	0.1857111206446539	0.1963658246816649	0.05543261569788864	0.1422442931650509	0.0752770050434496	0.2494550228069872	0.2143288320697835	0.3089075476030897	0.1915699326500166	0.5152292997848873	0.5390877336850084	0.5068223393291236	0.4920230623826981	0.4988665335740243	0.5658838603859467	0.30898793279921	0.4539416504709773	0.4130889852399787	0.2784661018350509	0.3207693810503373	0.4898056001692719	0.4096479477941721	0.3709888847342461	0.380613457800959	0.5674150063548753	0.1972618158235509
SRR8985889	0.07766631118246164	0.1169618643615153	0.1368193766985102	0	0.1174811185116824	0.06308094306192583	0.1131818284492094	0.1079900115908038	0.2534035641468831	0.1185552583913341	0.2217426341959394	0.3604579322994501	0.08265334232478652	0.09421714243216257	0.4357935020125763	0.2840173705679484	0.1293842362234418	0.325836372417239	0.1221127568816883	0.1108371319978958	0.4282596013851825	0.2727555694515549	0.323911570805999	0.2027534098254034	0.2444521479960566	0.2514410222677777	0.1160708893424732	0.416324824611209	0.2476099002784111	0.1951288082088189	0.5163391341542586	0.3985365371992413	0.1072517943757159	0.2070030572678678	0.1314052892689073	0.07196752984768362	0.4356391961791297	0.1817776369474086	0.5318727339681859	0.3357310882484774	0.2737402797154769	0.2797893813203018	0.1214798035116609	0.2536809291563163	0.1237974510042069	0.08568948535598964	0.1011084217551762	0.1142213788719139	0.3293879913719038	0.1064069883728747	0.3188838128843198	0.2988148197100831	0.1456582609356596	0.3307404132416392	0.2677423054449434	0.1539066993139328	0.3516558225004869	0.3091114237492949	0.1271960878657595	0.1661089976106777	0.1870014142479548	0.06304539173769205	0.0849902677706809	0.08540590032062088	0.1026154456922513	0.115832047815035	0.08147046609534858	0.1019385231472093	0.1577067886362811	0.154650984561721	0.2249855072259653	0.09708539204791042	0.462063701860887	0.4968613903792214	0.4614127992088961	0.4491431672867132	0.4506165123740968	0.5219529342942097	0.2148850739334711	0.4075139550203729	0.3221408091794006	0.1760706212402622	0.2806417133073098	0.4230732833750403	0.3469704823574143	0.2752003051711954	0.2967582869794997	0.5118064700303183	0.1353621764304329
SRR8985890	0.1151273028338003	0.1422036555119627	0.1712454295141042	0.1174811185116824	0	0.1364048533416315	0.08352562275001804	0.09412423197139161	0.1753446051276602	0.100689984418579	0.1948509552067435	0.2871109726288304	0.1011744967834783	0.09511376332950303	0.3766016841457175	0.2580888589746349	0.118283150487752	0.2571689158260406	0.1149646414020524	0.079495735165419	0.3530440115514898	0.2565225861071615	0.29215635832686	0.1813100710834218	0.2081063771713917	0.2186324552281284	0.07149946016050218	0.3392706997101232	0.2316904563612686	0.1712000052507267	0.4430504893104238	0.3383940857110935	0.09876378211172482	0.1591625697694226	0.1134437619195887	0.1162603946493085	0.3646556256346685	0.1558897223848559	0.460646773578146	0.2964387771658239	0.1897682672718602	0.1961457642607748	0.1020691294997609	0.1998027262947602	0.1123332865697975	0.08467184838370931	0.09710887487038453	0.1161548451142642	0.2460785014704271	0.08677744896681643	0.2732577818297262	0.2327747985301101	0.1420137703101468	0.2821977433594395	0.2281260573619775	0.09612804090431346	0.2953499471562984	0.320601279768196	0.1064932559140171	0.1182540772665259	0.2141770767318994	0.1132184280811809	0.1187193364450761	0.1251746824795301	0.120199070171453	0.1358428669430806	0.1018398287796221	0.1352968119690027	0.1776651535520763	0.157948986869901	0.2363171673579386	0.1234228584578493	0.4033257403330544	0.4289299013823946	0.3941209602113684	0.3798282310586264	0.3883284348733368	0.454910351114526	0.2078362604066986	0.3490589834885015	0.3235124216130741	0.2013246993692502	0.2121711131599411	0.379198349169157	0.31489177928413	0.2677781294164022	0.2882268233186786	0.4698262933587617	0.1138671404397459
SRR8985891	0.1053882979103416	0.1236066353780263	0.1522667925772409	0.06308094306192583	0.1364048533416315	0	0.135067985393037	0.123126948946373	0.2605581024503064	0.1400685371407459	0.2353661643670071	0.3681396286766704	0.0815089254487211	0.09907595708686172	0.4320949277274668	0.2535727448295341	0.1477713570085711	0.3326922538639397	0.1372488961693064	0.1224961261388399	0.4368547681400003	0.2397643761603082	0.2920078193936427	0.167876197896038	0.2621535715967168	0.2669074158862061	0.1341070500351593	0.4228247816553038	0.2141890970048594	0.1679418795145072	0.5247797050230527	0.4150035218957973	0.1144368053864436	0.2155682799353326	0.1401185040571516	0.07348163706579167	0.4485425684424804	0.1915320827895071	0.5430353072370419	0.3590481551886396	0.2811458993611454	0.286685019116177	0.1377924753108579	0.2674458708789045	0.1077472417518353	0.09183323329836286	0.1074381514692648	0.1318964935618698	0.3363549208016871	0.1112546920028602	0.3328098980751643	0.3164159776817492	0.1561526835517615	0.3393141083861496	0.2731914316067395	0.1737461632259327	0.3628866687601841	0.2755597175156478	0.1501128581874278	0.1732874054387701	0.203854220646001	0.08185602005902262	0.09289467750342183	0.1026083672384007	0.0857965844274881	0.1321893776556886	0.07377832413702137	0.112249305970134	0.1655552256503621	0.1688284212888224	0.229370593946866	0.1181197024101298	0.4851239300077013	0.5124792351541094	0.4776694791706806	0.4623076416204951	0.4670300784674797	0.5371841279402547	0.2396035209852448	0.4169117596928389	0.3354471642878455	0.1673128877802867	0.287690280901275	0.4457861808239725	0.3651331235449741	0.2523238021821876	0.3072553745997215	0.530647386201899	0.1510505737497626
SRR8985892	0.07701206300292252	0.1334729788302697	0.1129358821252152	0.1131818284492094	0.08352562275001804	0.135067985393037	0	0.03944863914820698	0.2260472286756767	0.02560293968675859	0.2287898961907817	0.3448491356205395	0.1207104542542052	0.1325306409594	0.4363516892801973	0.2834437401147106	0.08180312160897413	0.3159854061595401	0.1349674851450983	0.07329342431914368	0.4125388709171296	0.2834803466508364	0.3377055623394117	0.2018722144713742	0.2594001676358252	0.2573080256736368	0.06710888200946699	0.3912039239878602	0.249380746457833	0.1919018456174015	0.4978090430289679	0.3900641314026155	0.1224558415499978	0.2092881660092884	0.1514156844964793	0.09172813406400526	0.4261795989089464	0.1948227094710653	0.5209295433119712	0.3411801307978622	0.2400427582267506	0.2568836399453066	0.04882669097787155	0.2291570198972312	0.1177483414736909	0.06518454388937139	0.0461026598025432	0.04846686723077403	0.3056699131306017	0.08131643063711402	0.3161863625232271	0.2873244454405182	0.181989290795383	0.3354042218134077	0.2505279253118871	0.122167799234616	0.3509231042296038	0.3271513319613035	0.07746259742456212	0.1564879497408062	0.2353243882735546	0.1287416494017049	0.102508403433261	0.1464852297437493	0.1386761107467035	0.08474822817824938	0.1034550725894181	0.08285259995467074	0.204929873165835	0.179412058708967	0.2567317900500186	0.1459984746505464	0.4588747451157535	0.4842816460487481	0.4531708028424747	0.4360533296362782	0.4433345989988534	0.5098054667675008	0.2396924185079252	0.3967532592655212	0.3468960277823345	0.2263861871647064	0.2686467303292321	0.4413105081302449	0.357374313989398	0.3012655845481299	0.3220444330732063	0.5137190655548751	0.1518909143539681
SRR8985893	0.08913987592683402	0.1378673045748891	0.1272765565269059	0.1079900115908038	0.09412423197139161	0.123126948946373	0.03944863914820698	0	0.2170985010532239	0.04524483953217889	0.2382944395201962	0.3390439827556663	0.1126004603523739	0.122732665890465	0.4193620539891744	0.271316411159771	0.09208012654649644	0.3174835773268027	0.138039873362917	0.08047546808774979	0.4084796694671571	0.2612892690050127	0.3183505039350958	0.1764052809487845	0.2620376989693874	0.2604065273016899	0.07795925335786394	0.3846281819382229	0.2293399766542935	0.1681844103747452	0.4910171875032522	0.3832532962866272	0.1211111670035448	0.221346849337481	0.1478625839630748	0.08062482021968433	0.4259451618618192	0.2011721325185427	0.5166276983832334	0.3439687836487549	0.239945075286298	0.250539475012855	0.05913672545758791	0.2268661274974829	0.09162835047809477	0.05780286636772098	0.03466799508216008	0.050188400748382	0.3024336763905215	0.06719458646284042	0.3119278251899868	0.2964374503234773	0.1702463106991888	0.3418073191459478	0.2468567395297301	0.135564454380668	0.3520886702431578	0.3094475919299853	0.09732380168307307	0.1361084860659318	0.2404452059066594	0.1183016020295883	0.1003047982262335	0.1378958988474029	0.1231692683401379	0.09648169213405763	0.09150181583893159	0.102434593529011	0.191226574648181	0.1839125793824895	0.2401856285577834	0.1393512930169656	0.4523515117001933	0.4781402396711627	0.4464156335896473	0.4289135942940971	0.435557757905698	0.5015147639113405	0.222679834656935	0.3880357602892098	0.3296324731893939	0.216120237119525	0.2718451986963505	0.4438535256717127	0.3626050930937469	0.2822999728375314	0.3234584456580964	0.5094061346151489	0.1611022854576199
SRR8985894	0.2388006259442677	0.2058295299305613	0.2881058993597866	0.2534035641468831	0.1753446051276602	0.2605581024503064	0.2260472286756767	0.2170985010532239	0	0.2373623695353826	0.2499325315534223	0.2120433025699282	0.2182026456019103	0.2058675396164835	0.363971714935134	0.2512615756966468	0.2312561744743584	0.2122575353781815	0.2185898435089718	0.209518332392735	0.3108742907395981	0.2402822388190478	0.2796936658669681	0.1697278734801294	0.2252925185290642	0.2654570134505964	0.2071934312183039	0.2833779756000328	0.2186390788193645	0.1822558114762019	0.3636637344241427	0.2319614934670522	0.1908672861039546	0.1882793786176979	0.1864443133071752	0.2400918742079578	0.3095926504646017	0.2104723464354575	0.3833218730705212	0.2237754087009122	0.08068845636452844	0.1084398001301138	0.2265338743247061	0.1602111165677953	0.1787814376920242	0.2383220498180265	0.2332656374129932	0.2441901044646428	0.1382069961724534	0.1703150288901266	0.2360211112279955	0.2096559263889482	0.1866297836360464	0.2590261924691507	0.2046804116361102	0.1667264321923052	0.2532926420725118	0.3507191461604936	0.2353246350887855	0.1903054367925116	0.2223876658971392	0.2256830722523948	0.2237874713793883	0.2451679286403045	0.2278256834738532	0.246667748453753	0.2112413489034536	0.2511412245000388	0.2025745751867105	0.1974234465238044	0.2202669144881751	0.2004521172448316	0.3314323567975708	0.3473723186421557	0.3164248173520782	0.2726287706746339	0.2848754339971667	0.3613831945226092	0.1890637473371934	0.2638361433878367	0.30995009266883	0.2376521696732377	0.1911867815186256	0.3320112820265189	0.2684870619843759	0.2323887799272046	0.28651656526217	0.406483746328156	0.165529783150268
SRR8985895	0.08719809760929195	0.1384255642835647	0.1012444571913514	0.1185552583913341	0.100689984418579	0.1400685371407459	0.02560293968675859	0.04524483953217889	0.2373623695353826	0	0.2383046938741456	0.3558289367395969	0.1287089997919473	0.142313344245156	0.4438433683183658	0.2937278972140794	0.07297766987331286	0.3268604783233041	0.1399225698728497	0.08461268253382739	0.4232338706643197	0.285550808193789	0.3425959586504086	0.2089246664093696	0.2689096692775201	0.2639383473112365	0.08285177243134353	0.4017034027013696	0.2552471782199692	0.2000886381523609	0.5069071768511823	0.399458590855948	0.1318464671198452	0.2254006748611898	0.1649429952284437	0.09717332506887436	0.437813725034035	0.2072445594657303	0.5313112776829507	0.3543575691793465	0.251959993811133	0.2676583516140815	0.04898072667032741	0.2413505927899341	0.1193257649465801	0.07125802516639598	0.04061665250155105	0.0335274107747627	0.3183279633214322	0.08410248676246099	0.3266638409341669	0.3032046209089201	0.1922048940863421	0.345944119588883	0.2588190915113613	0.1382832401036758	0.3620970657759754	0.3280990348561666	0.08511184250443073	0.1626294558635743	0.2444511714477227	0.1352149210506956	0.1091590511174572	0.1545945045566272	0.1455496433738105	0.07360178529805338	0.111017502000267	0.07768063226455585	0.2139946419955483	0.1904673146873719	0.2634583859365879	0.154477201062755	0.4687295995165298	0.4938801190548725	0.4627762801582193	0.4457504255153009	0.4523507596270954	0.5195331910906729	0.2441526309217845	0.4052302747374052	0.3555716835179104	0.2392851883347435	0.2801354066765881	0.4517022801117649	0.3694382541951394	0.3082815447533619	0.3351384909480683	0.5236401369118423	0.1640031146202353
